Date,US_SQQQ_Close,KR_INVERSE_Close,VIX_Close,Interest_Rate
2020-02-21,8739.8505859375,6125.0,17.079999923706055,1.4709999561309814
2020-02-24,9755.060546875,6575.0,25.030000686645508,1.3769999742507935
2020-02-25,10539.0830078125,6435.0,27.850000381469727,1.3300000429153442
2020-02-26,10388.3115234375,6615.0,27.559999465942383,1.309999942779541
2020-02-27,11941.2763671875,6770.0,39.15999984741211,1.2990000247955322
2020-02-28,11760.349609375,7205.0,40.11000061035156,1.1269999742507935
2020-03-02,10086.76171875,7065.0,33.41999816894531,1.0880000591278076
2020-03-03,11096.9443359375,7015.0,36.81999969482422,1.0099999904632568
2020-03-04,9714.8525390625,6695.0,31.989999771118164,0.9919999837875366
2020-03-05,10574.263671875,6565.0,39.619998931884766,0.9259999990463257
2020-03-06,11101.9716796875,6825.0,41.939998626708984,0.7059999704360962
2020-03-09,13398.7578125,7420.0,54.459999084472656,0.49900001287460327
2020-03-10,11308.02734375,7305.0,47.29999923706055,0.7480000257492065
2020-03-11,12705.19921875,7750.0,53.900001525878906,0.8199999928474426
2020-03-12,16218.2294921875,8340.0,75.47000122070312,0.8489999771118164
2020-03-13,11619.626953125,8700.0,57.83000183105469,0.9509999752044678
2020-03-16,15424.1533203125,9410.0,82.69000244140625,0.7279999852180481
2020-03-17,12604.68359375,9740.0,75.91000366210938,0.996999979019165
2020-03-18,13539.48046875,10915.0,76.44999694824219,1.2660000324249268
2020-03-19,13368.603515625,12365.0,72.0,1.11899995803833
2020-03-20,14735.62109375,10530.0,66.04000091552734,0.9380000233650208
2020-03-23,14816.0302734375,11700.0,61.59000015258789,0.7639999985694885
2020-03-24,11478.90625,9635.0,61.66999816894531,0.8159999847412109
2020-03-25,11672.951171875,8460.0,63.95000076293945,0.8579999804496765
2020-03-26,9813.1416015625,8735.0,61.0,0.8109999895095825
2020-03-27,10760.6875,8325.0,65.54000091552734,0.7490000128746033
2020-03-30,9596.4150390625,8365.0,57.08000183105469,0.6700000166893005
2020-03-31,9808.1025390625,8090.0,53.540000915527344,0.6980000138282776
2020-04-01,11063.095703125,8830.0,57.060001373291016,0.6349999904632568
2020-04-02,10407.8779296875,8325.0,50.90999984741211,0.6269999742507935
2020-04-03,10816.12890625,8330.0,46.79999923706055,0.5870000123977661
2020-04-06,8543.0283203125,7660.0,45.2400016784668,0.6759999990463257
2020-04-07,8517.828125,7380.0,46.70000076293945,0.7360000014305115
2020-04-08,7978.53125,7585.0,43.349998474121094,0.7639999985694885
2020-04-09,7938.21142578125,7365.0,41.66999816894531,0.7289999723434448
2020-04-10,7938.21142578125,7255.0,41.66999816894531,0.7289999723434448
2020-04-13,7671.083984375,7525.0,41.16999816894531,0.7490000128746033
2020-04-14,6668.09814453125,7235.0,37.7599983215332,0.7519999742507935
2020-04-15,6889.86328125,7235.0,40.84000015258789,0.6380000114440918
2020-04-16,6516.89306640625,7220.0,40.11000061035156,0.609000027179718
2020-04-17,6355.60986328125,6770.0,38.150001525878906,0.6539999842643738
2020-04-20,6562.25439453125,6940.0,43.83000183105469,0.6259999871253967
2020-04-21,7282.99462890625,7100.0,45.40999984741211,0.5709999799728394
2020-04-22,6627.77685546875,6965.0,41.97999954223633,0.6190000176429749
2020-04-23,6678.17822265625,6830.0,41.380001068115234,0.6129999756813049
2020-04-24,6350.56982421875,7055.0,35.93000030517578,0.5960000157356262
2020-04-27,6224.5654296875,6750.0,33.290000915527344,0.656000018119812
2020-04-28,6552.17431640625,6680.0,33.56999969482422,0.6100000143051147
2020-04-29,5876.7958984375,6575.0,31.229999542236328,0.6269999742507935
2020-04-30,5836.4755859375,6575.0,34.150001525878906,0.621999979019165
2020-05-01,6360.64990234375,6575.0,37.189998626708984,0.6420000195503235
2020-05-04,6133.84326171875,6970.0,35.970001220703125,0.6370000243186951
2020-05-05,5927.19775390625,6970.0,33.61000061035156,0.6570000052452087
2020-05-06,5816.314453125,6730.0,34.119998931884766,0.7110000252723694
2020-05-07,5589.5078125,6745.0,31.440000534057617,0.6309999823570251
2020-05-08,5362.703125,6620.0,27.979999542236328,0.6819999814033508
2020-05-11,5226.61962890625,6725.0,27.56999969482422,0.7260000109672546
2020-05-12,5539.10791015625,6810.0,33.040000915527344,0.6779999732971191
2020-05-13,5745.7529296875,6675.0,35.279998779296875,0.6489999890327454
2020-05-14,5554.2275390625,6825.0,32.61000061035156,0.6190000176429749
2020-05-15,5443.345703125,6760.0,31.889999389648438,0.6399999856948853
2020-05-18,5140.9375,6665.0,29.299999237060547,0.7440000176429749
2020-05-19,5186.2978515625,6325.0,30.530000686645508,0.7110000252723694
2020-05-20,4868.7705078125,6295.0,27.989999771118164,0.6800000071525574
2020-05-21,5019.97314453125,6255.0,29.530000686645508,0.6769999861717224
2020-05-22,4974.611328125,6460.0,28.15999984741211,0.6570000052452087
2020-05-25,4974.611328125,6280.0,28.15999984741211,0.6570000052452087
2020-05-26,4999.81298828125,6060.0,28.010000228881836,0.6980000138282776
2020-05-27,4929.25048828125,6045.0,27.6200008392334,0.6800000071525574
2020-05-28,4954.4521484375,6015.0,28.59000015258789,0.7049999833106995
2020-05-29,4752.84619140625,6025.0,27.510000228881836,0.6480000019073486
2020-06-01,4687.32470703125,5800.0,28.229999542236328,0.6620000004768372
2020-06-02,4601.64306640625,5670.0,26.84000015258789,0.6800000071525574
2020-06-03,4521.0009765625,5270.0,25.65999984741211,0.7609999775886536
2020-06-04,4626.84375,5245.0,25.809999465942383,0.8199999928474426
2020-06-05,4354.67578125,5060.0,24.520000457763672,0.9039999842643738
2020-06-08,4248.833984375,5075.0,25.809999465942383,0.8840000033378601
2020-06-09,4153.0703125,5085.0,27.56999969482422,0.8289999961853027
2020-06-10,3996.8271484375,5045.0,27.56999969482422,0.7480000257492065
2020-06-11,4596.6015625,5250.0,40.790000915527344,0.652999997138977
2020-06-12,4490.7587890625,5420.0,36.09000015258789,0.6990000009536743
2020-06-15,4324.43505859375,5960.0,34.400001525878906,0.7020000219345093
2020-06-16,4107.708984375,5260.0,33.66999816894531,0.7559999823570251
2020-06-17,4062.347900390625,5275.0,33.470001220703125,0.7329999804496765
2020-06-18,4027.06640625,5315.0,32.939998626708984,0.6940000057220459
2020-06-19,4032.107177734375,5315.0,35.119998931884766,0.6970000267028809
2020-06-22,3890.984375,5330.0,31.770000457763672,0.7039999961853027
2020-06-23,3790.180908203125,5310.0,31.3700008392334,0.7089999914169312
2020-06-24,4011.947509765625,5135.0,33.84000015258789,0.6840000152587891
2020-06-25,3901.0634765625,5405.0,32.220001220703125,0.6740000247955322
2020-06-26,4183.31103515625,5265.0,34.72999954223633,0.6359999775886536
2020-06-29,4057.307373046875,5435.0,31.780000686645508,0.6359999775886536
2020-06-30,3810.342041015625,5335.0,30.43000030517578,0.652999997138977
2020-07-01,3674.2578125,5335.0,28.6200008392334,0.6819999814033508
2020-07-02,3598.656005859375,5210.0,27.68000030517578,0.6690000295639038
2020-07-06,3336.569091796875,4940.0,27.940000534057617,0.6840000152587891
2020-07-07,3402.09033203125,5060.0,29.43000030517578,0.6499999761581421
2020-07-08,3266.007080078125,5090.0,28.079999923706055,0.652999997138977
2020-07-09,3185.365478515625,5040.0,29.260000228881836,0.6050000190734863
2020-07-10,3114.802734375,5145.0,27.290000915527344,0.6330000162124634
2020-07-13,3306.327392578125,4945.0,32.189998626708984,0.6399999856948853
2020-07-14,3235.765869140625,4955.0,29.520000457763672,0.6150000095367432
2020-07-15,3215.60546875,4860.0,27.760000228881836,0.6299999952316284
2020-07-16,3286.167724609375,4965.0,28.0,0.6119999885559082
2020-07-17,3281.127197265625,4890.0,25.68000030517578,0.628000020980835
2020-07-20,2993.83935546875,4915.0,24.459999084472656,0.6200000047683716
2020-07-21,3084.56201171875,4765.0,24.84000015258789,0.6069999933242798
2020-07-22,3049.281494140625,4800.0,24.31999969482422,0.5950000286102295
2020-07-23,3291.207763671875,4855.0,26.079999923706055,0.5820000171661377
2020-07-24,3386.97021484375,4910.0,25.84000015258789,0.5889999866485596
2020-07-27,3200.485595703125,4810.0,24.739999771118164,0.609000027179718
2020-07-28,3321.448486328125,4615.0,25.440000534057617,0.5809999704360962
2020-07-29,3205.525390625,4560.0,24.100000381469727,0.5789999961853027
2020-07-30,3155.1240234375,4555.0,24.760000228881836,0.5410000085830688
2020-07-31,2988.799560546875,4620.0,24.459999084472656,0.5360000133514404
2020-08-03,2872.87646484375,4625.0,24.280000686645508,0.5630000233650208
2020-08-04,2832.555419921875,4520.0,23.760000228881836,0.5149999856948853
2020-08-05,2817.434814453125,4415.0,22.989999771118164,0.5429999828338623
2020-08-06,2701.51220703125,4275.0,22.649999618530273,0.5360000133514404
2020-08-07,2792.234375,4235.0,22.209999084472656,0.5619999766349792
2020-08-10,2832.555419921875,4110.0,22.1299991607666,0.5740000009536743
2020-08-11,2993.83935546875,4000.0,24.030000686645508,0.6579999923706055
2020-08-12,2761.9931640625,3965.0,22.280000686645508,0.6700000166893005
2020-08-13,2746.873046875,3970.0,22.1299991607666,0.7160000205039978
2020-08-14,2761.9931640625,4045.0,22.049999237060547,0.7089999914169312
2020-08-17,2661.19091796875,4045.0,21.350000381469727,0.6830000281333923
2020-08-18,2585.58935546875,4215.0,21.510000228881836,0.6690000295639038
2020-08-19,2636.99853515625,4185.0,22.540000915527344,0.675000011920929
2020-08-20,2526.115234375,4505.0,22.719999313354492,0.6439999938011169
2020-08-21,2473.69775390625,4370.0,22.540000915527344,0.6399999856948853
2020-08-24,2426.321044921875,4280.0,22.3700008392334,0.6460000276565552
2020-08-25,2369.87109375,4165.0,22.030000686645508,0.6819999814033508
2020-08-26,2217.659423828125,4165.0,23.270000457763672,0.6869999766349792
2020-08-27,2239.8359375,4240.0,24.469999313354492,0.7459999918937683
2020-08-28,2202.538818359375,4190.0,22.959999084472656,0.7289999723434448
2020-08-31,2152.136962890625,4325.0,26.40999984741211,0.6930000185966492
2020-09-01,2040.2464599609375,4255.0,26.1200008392334,0.671999990940094
2020-09-02,1981.7808837890625,4210.0,26.56999969482422,0.6510000228881836
2020-09-03,2286.205078125,4085.0,33.599998474121094,0.621999979019165
2020-09-04,2376.927001953125,4200.0,30.75,0.7210000157356262
2020-09-07,2376.927001953125,4165.0,30.75,0.7210000157356262
2020-09-08,2714.61669921875,4050.0,31.459999084472656,0.6840000152587891
2020-09-09,2479.745849609375,4140.0,28.809999465942383,0.703000009059906
2020-09-10,2621.877685546875,4060.0,29.709999084472656,0.6850000023841858
2020-09-11,2677.319091796875,4065.0,26.8700008392334,0.6690000295639038
2020-09-14,2540.227783203125,3960.0,25.850000381469727,0.6710000038146973
2020-09-15,2429.3447265625,3900.0,25.59000015258789,0.6790000200271606
2020-09-16,2548.2919921875,3925.0,26.040000915527344,0.6869999766349792
2020-09-17,2663.20654296875,4040.0,26.459999084472656,0.6840000152587891
2020-09-18,2770.0576171875,4010.0,25.829999923706055,0.6940000057220459
